,Country,Date,Confirmed,Deaths,Recovered
1,China,1,548,17,28
2,China,2,643,18,30
3,China,3,920,26,36
4,China,4,1406,42,39
5,China,5,2075,56,49
6,China,6,2877,82,58
7,China,7,5509,131,101
8,China,8,6087,133,120
9,China,9,8141,171,135
10,China,10,9802,213,214
11,China,11,11891,259,275
12,China,20,42354,1012,3918
13,China,21,44386,1112,4636
14,China,22,46267,1117,5082
15,China,23,59895,1369,6217
16,China,24,66358,1521,7977
17,China,25,68413,1663,9298
18,China,26,70513,1766,10755
19,China,27,72434,1864,12462
20,China,28,74211,2003,14206
21,China,29,74619,2116,15962
22,China,12,16630,361,463
23,China,30,75077,2238,18014
24,China,31,75550,2238,18704
25,China,32,77001,2443,22699
26,China,33,77022,2445,23187
27,China,34,77241,2595,25015
28,China,35,77754,2665,27676
29,China,36,78166,2717,30084
30,China,37,78600,2746,32930
31,China,38,78928,2790,36329
32,China,39,79356,2837,39320
33,China,13,19716,425,614
34,China,14,23707,491,843
35,China,15,27440,563,1115
36,China,16,30587,633,1477
37,China,17,34110,718,1999
38,China,18,36814,805,2596
39,China,19,39829,905,3219
40,China,40,79932,2872,42162
41,China,49,80887,3139,60181
42,China,50,80921,3161,61644
43,China,51,80932,3172,62901
44,China,52,80945,3180,64196
45,China,53,80977,3193,65660
46,China,54,81003,3203,67017
47,China,55,81033,3217,67910
48,China,56,81058,3230,68798
49,China,57,81102,3241,69755
50,China,58,81156,3249,70535
51,China,41,80136,2914,44854
52,China,59,81250,3253,71266
53,China,60,81305,3259,71857
54,China,61,81435,3274,72362
55,China,62,81498,3274,72814
56,China,63,81591,3281,73280
57,China,64,81661,3285,73773
58,China,65,81782,3291,74181
59,China,66,81897,3296,74720
60,China,67,81999,3299,75100
61,China,68,82122,3304,75582
62,China,42,80261,2947,47450
63,China,43,80386,2983,50001
64,China,44,80537,3015,52292
65,China,45,80690,3044,53944
66,China,46,80770,3072,55539
67,China,47,80823,3100,57388
68,China,48,80860,3123,58804
69,France,1,0,0,0
70,France,2,0,0,0
71,France,3,2,0,0
72,France,4,3,0,0
73,France,5,3,0,0
74,France,6,3,0,0
75,France,7,4,0,0
76,France,8,5,0,0
77,France,9,5,0,0
78,France,10,5,0,0
79,France,11,6,0,0
80,France,20,11,0,0
81,France,21,11,0,0
